SubID,CS2minusUSminus_early,CS2minusUSminus_late,CS2plusUSplus_early,CS2plusUSplus_late,CS2nUSminus_early,CS2nUSminus_late,CS2nUSplus_early,CS2nUSplus_late,CS1minusUSminus_early,CS1minusUSminus_late,CS1plusUSplus_early,CS1plusUSplus_late,CS1nUSminus_early,CS1nUSminus_late,CS1nUSplus_early,CS1nUSplus_late
906,-0.053562110482916,-0.0368205839267424,-0.0261572743438909,-0.0255266099304755,-0.0543125604637053,-0.0726461440384107,-0.0188205065372461,-0.0505576722563766,0.0670024029054075,0.0690752096591388,0.0191363170278668,0.0165520272761807,0.0721375342774336,0.0380941482923907,0.0209315629655559,-0.0207771690311234
907,0.0574182557451291,0.0635241533828005,0.0115404326757364,0.00688997635875406,0.0554838218101671,0.0152837230453722,0.0232340105462964,0.000664693117941553,0.0100917046393781,0.00117709245950344,-0.0249539075305482,-0.0154169053096966,-0.0182907588929091,-0.0198948187115949,-0.00817946001587606,-0.00136812219759629
908,-0.0132746113879915,-0.0344230984510806,-0.0189259993599353,-0.00720877281178487,-0.0299765119754235,-0.0461496346575892,-0.0119759847228681,-0.0220076162223684,0.00192253464719645,-0.0180357730372733,-0.0504639094752945,-0.0234177047330544,-0.00687286601534186,-0.0204208423105012,-0.0278920333300584,-0.0316481316065936
909,-0.0243313385071815,-0.044465398800909,-0.0250132060731626,-0.02940369880661,-0.0159425990540212,-0.0353848619207126,-0.0216789136383329,-0.026168675014754,0.0477298766566773,0.0375782591393929,0.00851009800757767,0.0168023057975139,0.0197968009815316,0.0339026255151662,0.000454292140512541,0.0138197520119954
910,-0.0269983660024086,-0.0367074109046891,-0.00783815369552093,-0.0195935533583126,-0.0398895603756921,-0.044782206814577,-0.00584345706533091,0.00722686614547938,0.0249374945215061,0.0662151482242509,-0.00126203140751227,-0.00137984462003679,0.038308031110473,0.0248187101181854,-0.00547210744193586,-0.00777244862174752
911,0.0840446288931318,0.104665924200925,-0.000238758727246825,0.037822370264465,0.0564640111942707,0.0669405070048467,0.0419085617046914,0.044770741880761,-0.00794117837301057,0.00329333533077949,-0.0713560952964571,-0.0582779860346926,-0.0413871129577058,-0.0468804973178953,-0.0288687545630447,-0.0371164827596598
912,0.0359687065102178,0.0136844262004201,0.0353933646149931,0.0302065839693546,-0.0360620555948041,0.00793058874430127,-0.0156900268366259,0.0267758147727524,0.0117120628770431,-0.00553925847562783,0.0220551469562177,0.0111930032895789,-0.0438582901166107,-0.00607317084361542,-0.0348525564123342,0.0049782947627545
913,0.0591009214912216,0.071964298488087,0.0783072693651836,0.0342450520585289,0.0271935890636985,0.0751594824099826,0.0377109973608227,0.0573748729746829,0.00639139067406893,0.00680497757452394,0.0764799586633158,-0.0153045606076428,-0.0566567169497655,0.0274867214299667,0.0138836888994373,0.0760636607722966
915,-0.0661493072696495,-0.0408961715695253,0.00319900576515899,-0.0225870889100329,-0.0574154762191385,-0.0347588390526562,-0.0107711837486731,0.0371624722474261,0.0196217945250034,0.0488566724843984,-0.000452185378697077,-0.0397064853447084,0.0323579382578704,0.0372729133316113,-0.0206493239295381,-0.00142292951571734
916,-0.033997946465612,-0.046508005001373,-0.0582623942522355,-0.0763568769866255,-0.0656125184067892,-0.0694278258973322,-0.0831391869124445,-0.0773318830583137,-0.0616492867148929,-0.0672199501935135,-0.0344857177441563,-0.0682999505165473,-0.0733610436553093,-0.102971849266435,-0.0428994545156578,-0.0761165874937331
